OCCUPATION_TYPE,EMP_STATE,EMP_COUNTRY,EMP_NAICS,EMP_YEAR_COMMENCED,EMP_WORKER_INTEREST,EMP_RELATIONSHIP_WORKER,EMP_POC_STATE,EMP_POC_COUNTRY,ATTY_AG_REP_TYPE,ATTY_AG_MIDDLE_NAME,ATTY_AG_CITY,ATTY_AG_STATE,ATTY_AG_POSTAL_CODE,ATTY_AG_COUNTRY,ATTY_AG_GOOD_STANDING_STATE,ATTY_AG_GOOD_STANDING_COURT,FW_INFO_APPX_A_ATTACHED,PWD_SOC_CODE,PWD_SOC_TITLE,JOB_OPP_WAGE_PER,PRIMARY_WORKSITE_TYPE,PRIMARY_WORKSITE_STATE,PRIMARY_WORKSITE_BLS_AREA,IS_MULTIPLE_LOCATIONS,IS_APPENDIX_B_ATTACHED,OTHER_REQ_IS_FULLTIME_EMP,OTHER_REQ_IS_LIVEIN_HOUSEHOLD,OTHER_REQ_ACCEPT_DIPLOMA_PWD,OTHER_REQ_IS_FW_CURRENTLY_WRK,OTHER_REQ_EMP_RELY_EXP,OTHER_REQ_JOB_EMP_PREMISES,OTHER_REQ_JOB_COMBO_OCCUP,OTHER_REQ_JOB_FOREIGN_LANGUAGE,OTHER_REQ_JOB_REQ_EXCEED,OTHER_REQ_EMP_USE_CREDENTIAL,OTHER_REQ_EMP_REC_PAYMENT,OTHER_REQ_EMP_LAYOFF,RECR_INFO_RECRUIT_SUPERVISED_REQ,RECR_INFO_IS_NEWSPAPER_SUNDAY,RECR_INFO_RECRUIT_AD_TYPE,RECR_OCC_EMP_WEBSITE_FROM,RECR_OCC_LOCAL_NEWSPAPER_TO,NOTICE_POST_BARGAIN_REP,NOTICE_POST_BARGAIN_REP_PHYSICAL,NOTICE_POST_BARGAIN_REP_ELECTRONIC,NOTICE_POST_BARGAIN_REP_INHOUSE,NOTICE_POST_BARGAIN_REP_PRIVATE,NOTICE_POST_EMP_NOT_POSTED,EMP_CERTIFY_COMPLIANCE,RECEIVED_YEAR,RECEIVED_MONTH,WAGE_BAND,CASE_STATUS_CLEAN,OUTCOME_BINARY,DAYS_TO_DECISION,DECISION_YEAR,DECISION_MONTH
Professional occupation,MI,UNITED STATES OF AMERICA,54151.0,2017.0,N,N,MI,UNITED STATES OF AMERICA,Attorney,,Ann Arbor,MI,48105,UNITED STATES OF AMERICA,MI,Michigan Supreme Court,Y,15-1252.00,Software Developers,Year,Business Premises,MI,"Detroit-Warren-Dearborn, MI",N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,Y,Newspaper of General Circulation,2023-06-06 00:00:00,2023-09-13 00:00:00,N,Y,N,N,N,N,Y,2023,2023-12,"(37606.4, 99507.0]",CERTIFIED,CERTIFIED_GROUP,521.0,2025,2025-05
Professional occupation,FL,UNITED STATES OF AMERICA,6221.0,1973.0,N,N,FL,UNITED STATES OF AMERICA,Attorney,,Miami,FL,33131,UNITED STATES OF AMERICA,FL,Supreme Court,Y,29-2011.00,Medical and Clinical Laboratory Technologists,Year,Business Premises,FL,"Orlando-Kissimmee-Sanford, FL",N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,Y,Newspaper of General Circulation,,2024-01-25 00:00:00,N,Y,N,N,N,N,Y,2024,2024-02,"(37606.4, 99507.0]",CERTIFIED,CERTIFIED_GROUP,485.0,2025,2025-06
Professional occupation,NY,UNITED STATES OF AMERICA,541611.0,2014.0,N,N,FL,UNITED STATES OF AMERICA,Attorney,,Vancouver,,V6E4A2,CANADA,NY,Supreme Court,Y,15-1211.00,Computer Systems Analysts,Year,Business Premises,WA,"Seattle-Tacoma-Bellevue, WA",N,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,Newspaper of General Circulation,,2024-02-22 00:00:00,N,Y,N,Y,N,N,Y,2024,2024-06,"(139693.0, 12839800.0]",CERTIFIED,CERTIFIED_GROUP,455.0,2025,2025-09
Professional occupation,NY,UNITED STATES OF AMERICA,624110.0,1951.0,N,N,NY,UNITED STATES OF AMERICA,Attorney,,Plainview,NY,11803,UNITED STATES OF AMERICA,NY,New York Supreme Court,Y,13-1082.00,Project Management Specialists,Year,Business Premises,NY,"New York-Newark-Jersey City, NY-NJ-PA",N,N,Y,N,,Y,N,N,N,N,N,N,N,N,N,Y,Newspaper of General Circulation,2023-12-26 00:00:00,,N,Y,N,N,N,N,Y,2024,2024-04,"(37606.4, 99507.0]",CERTIFIED,CERTIFIED_GROUP,470.0,2025,2025-07
Professional occupation,MI,UNITED STATES OF AMERICA,54133.0,2022.0,N,N,MI,UNITED STATES OF AMERICA,Attorney,,Dayton,OH,45459,UNITED STATES OF AMERICA,OH,Supreme Court,Y,17-2112.00,Industrial Engineers,Year,Business Premises,MI,"Detroit-Warren-Dearborn, MI",N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Newspaper of General Circulation,2023-11-20 00:00:00,,N,Y,N,N,N,N,Y,2024,2024-05,"(99507.0, 139693.0]",CERTIFIED,CERTIFIED_GROUP,459.0,2025,2025-08
Non-professional,GA,UNITED STATES OF AMERICA,311615.0,2012.0,N,N,GA,UNITED STATES OF AMERICA,,,,,,,,,Y,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",Year,Business Premises,GA,"Columbus, GA-AL",N,N,Y,N,,N,N,N,N,N,N,,N,N,N,Y,Newspaper of General Circulation,,,N,Y,N,N,N,N,Y,2024,2024-01,"(5.999, 37606.4]",CERTIFIED,CERTIFIED_GROUP,504.0,2025,2025-05
Professional occupation,CA,UNITED STATES OF AMERICA,71394.0,2018.0,N,N,CA,UNITED STATES OF AMERICA,Attorney,,Whittier,CA,90603,UNITED STATES OF AMERICA,CA,Supreme Court of California,Y,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Year,Business Premises,CA,"San Francisco-Oakland-Hayward, CA",N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Newspaper of General Circulation,2023-11-27 00:00:00,2023-09-13 00:00:00,N,Y,N,N,N,N,Y,2024,2024-02,"(37606.4, 99507.0]",CERTIFIED,CERTIFIED_GROUP,532.0,2025,2025-08
Professional occupation,PA,UNITED STATES OF AMERICA,54151.0,2016.0,N,N,PA,UNITED STATES OF AMERICA,Attorney,,Wayne,PA,19087,UNITED STATES OF AMERICA,PA,Pennsylvania Supreme Court,Y,15-1252.00,Software Developers,Year,Employee's private residence (when work is performed directly out of the residence),CA,"San Francisco-Oakland-Hayward, CA",N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Newspaper of General Circulation,,2023-08-08 00:00:00,N,Y,Y,N,N,N,Y,2023,2023-12,"(139693.0, 12839800.0]",CERTIFIED,CERTIFIED_GROUP,552.0,2025,2025-06
Non-professional,KS,UNITED STATES OF AMERICA,722513.0,1989.0,N,N,KS,UNITED STATES OF AMERICA,Attorney,,Ketchum,ID,83340,UNITED STATES OF AMERICA,ID,Idaho Supreme Court,Y,35-3023.00,Fast Food and Counter Workers,Year,Business Premises,KS,"Lawrence, KS",N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,Y,Newspaper of General Circulation,,,N,Y,N,N,N,N,Y,2024,2024-05,"(5.999, 37606.4]",CERTIFIED,CERTIFIED_GROUP,454.0,2025,2025-08
Professional occupation,OH,UNITED STATES OF AMERICA,339112.0,2010.0,N,N,OH,UNITED STATES OF AMERICA,Attorney,,Los Angeles,CA,90017,UNITED STATES OF AMERICA,VA,Supreme Court,Y,17-2112.03,Manufacturing Engineers,Year,Business Premises,OH,"Cincinnati, OH-KY-IN",N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,Y,Newspaper of General Circulation,,2024-01-18 00:00:00,N,Y,N,N,N,N,Y,2024,2024-04,"(99507.0, 139693.0]",CERTIFIED,CERTIFIED_GROUP,467.0,2025,2025-07
